date,open,high,low,close,adjclose,volume
19990310,51.125,51.156,50.281,51.062,43.41728591918945,5232000
19990311,51.438,51.734,50.312,51.312,43.62985610961914,9688600
19990312,51.125,51.156,49.656,50.062,42.5670166015625,8743600
19990315,50.438,51.562,49.906,51.5,43.789283752441406,6369000
19990316,51.719,52.156,51.156,51.938,44.16128158569336,4905800
19990317,51.938,52.0,51.406,51.562,43.84241104125977,3965000
19990318,51.5,52.594,51.484,52.562,44.69270324707031,4848400
19990319,53.25,53.25,51.188,51.219,43.55013656616211,7160400
19990322,51.438,51.562,50.5,50.594,43.01871871948242,5024800
19990323,50.312,50.5,48.719,48.812,41.5041618347168,10962400
19990324,49.25,50.5,48.5,50.469,42.91242218017578,8447000
19990325,51.25,52.312,50.914,52.312,44.480125427246094,8133800
19990326,51.875,52.469,51.531,51.75,44.001853942871094,8256200
19990329,52.375,53.656,52.062,53.625,45.59612655639648,5113800
19990330,53.562,54.0,53.031,53.25,45.27726745605469,4940600
19990331,54.125,54.188,52.312,52.469,44.61299133300781,8256600
19990401,54.0,54.062,52.688,53.562,45.54298400878906,8715800
19990405,54.43,55.578,54.094,55.5,47.19039535522461,5697200
19990406,55.438,56.219,54.969,55.609,47.28338241577149,7522400
19990407,56.125,56.25,53.844,55.031,46.79181671142578,11923600
19990408,54.938,55.734,53.812,55.469,47.16382217407226,7952400
19990409,55.375,55.938,55.219,55.812,47.456092834472656,4946800
19990412,54.5,55.812,54.438,55.438,47.13725280761719,10934000
19990413,55.781,55.906,54.25,54.688,46.49954223632813,9962200
19990414,55.375,55.438,52.508,52.812,44.9052734375,21253800
19990415,53.0,53.617,51.125,53.531,45.51641464233398,17650600
19990416,53.406,53.406,51.688,51.969,44.18783950805664,17274000
19990419,52.312,52.75,49.008,49.531,42.11530303955078,19460600
19990420,49.312,51.062,48.844,50.656,43.071861267089844,17413600
19990421,51.125,53.188,50.438,53.156,45.19755554199219,10940400
19990422,53.656,54.75,53.305,54.594,46.41981887817383,13630600
19990423,54.312,55.719,53.75,55.312,47.03096008300781,7064400
19990426,55.688,57.0,55.508,56.586,48.11371612548828,5421000
19990427,57.0,57.281,55.008,55.719,47.37639617919922,16482800
19990428,55.25,55.438,53.57,53.812,45.75555419921875,7676800
19990429,53.562,53.875,52.25,53.375,45.3835563659668,19148200
19990430,54.125,54.406,51.812,53.719,45.67583847045898,15295200
19990503,53.562,53.781,52.539,53.438,45.43668746948242,11109800
19990504,53.531,54.375,52.281,52.594,44.71926879882813,15428400
19990505,52.625,54.188,51.031,54.188,46.07439422607422,12642600
19990506,53.688,54.156,51.719,52.219,44.40043640136719,15173400
19990507,52.688,53.125,51.562,52.969,45.03813934326172,16430400
19990510,53.312,53.859,52.688,53.5,45.4898452758789,10604200
19990511,53.938,54.625,53.625,54.344,46.20724105834961,8800800
19990512,54.594,55.656,53.0,55.469,47.16382217407226,12507400
19990513,55.906,56.0,54.188,54.438,46.28697204589844,9864000
19990514,53.375,54.0,53.0,53.406,45.410118103027344,12205400
19990517,52.938,54.531,52.414,54.367,46.2271842956543,9906800
19990518,54.312,54.625,53.5,54.125,46.021263122558594,9267800
19990519,54.344,54.906,53.5,54.875,46.65896987915039,7985600
19990520,54.992,54.992,53.281,53.367,45.376914978027344,5997200
19990521,53.531,53.688,52.594,52.875,44.95841598510742,10958600
19990524,52.969,53.062,51.188,51.531,43.81586456298828,9569800
19990525,51.469,52.219,49.625,49.844,42.38101577758789,17771200
19990526,50.5,51.438,48.938,51.234,43.56344985961914,26772000
19990527,51.031,51.93,50.375,51.188,43.52356719970703,23334800
19990528,51.5,52.312,50.844,52.031,44.24100112915039,12969800
19990601,51.938,52.188,50.594,50.875,43.25785827636719,6960200
19990602,50.844,52.0,49.57,51.734,43.98855590820313,11996600
19990603,52.125,52.125,50.688,51.0,43.36413192749024,11147800
19990604,51.375,52.742,51.375,52.562,44.69270324707031,12987200
19990607,52.93,53.992,52.812,53.656,45.6226806640625,11491800
19990608,53.781,54.031,52.039,52.312,44.480125427246094,8134800
19990609,52.5,53.336,52.469,53.188,45.22412872314453,8384400
19990610,52.625,52.938,51.945,52.578,44.705997467041016,9392400
19990611,52.938,52.992,51.312,51.781,44.0284423828125,16567600
19990614,51.969,51.969,50.688,50.805,43.19805908203125,14136800
