date,open,high,low,close,adjclose,volume
20100211,0.407,0.435,0.406,0.433,0.4175993502140045,3456000
20100212,0.421,0.438,0.418,0.434,0.419309139251709,8601600
20100216,0.445,0.452,0.438,0.451,0.4355506002902985,9619200
20100217,0.457,0.459,0.45,0.459,0.4429419636726379,19180800
20100218,0.458,0.47,0.456,0.468,0.4513392746448517,38860800
20100219,0.464,0.474,0.461,0.468,0.4513392746448517,46483200
20100222,0.473,0.473,0.459,0.464,0.4481716752052307,25497600
20100223,0.462,0.464,0.44,0.446,0.43067321181297297,41126400
20100224,0.454,0.465,0.452,0.46,0.4436959326267241,35308800
20100225,0.445,0.462,0.436,0.459,0.4434449076652527,45619200
20100226,0.458,0.467,0.453,0.465,0.44897592067718506,28800000
20100301,0.471,0.487,0.471,0.485,0.4682343304157257,14227200
20100302,0.489,0.498,0.487,0.488,0.4710504412651062,24211200
20100303,0.493,0.498,0.486,0.491,0.4736648499965668,23980800
20100304,0.492,0.497,0.485,0.496,0.4788946211338043,14726400
20100305,0.507,0.52,0.504,0.518,0.5000636577606201,13440000
20100308,0.518,0.524,0.518,0.521,0.5027282238006592,12672000
20100309,0.518,0.538,0.517,0.53,0.5116285085678101,23212800
20100310,0.531,0.546,0.53,0.543,0.5241491794586182,20044800
20100311,0.54,0.549,0.536,0.548,0.5289763808250427,26956800
20100312,0.554,0.554,0.543,0.549,0.5301831960678101,18067200
20100315,0.546,0.549,0.534,0.545,0.5266129970550537,21196800
20100316,0.551,0.557,0.545,0.556,0.5365685224533081,23289600
20100317,0.557,0.568,0.555,0.56,0.5402893424034119,19910400
20100318,0.562,0.567,0.558,0.565,0.5457710027694702,26092800
20100319,0.555,0.572,0.549,0.555,0.5361166000366211,20025600
20100322,0.549,0.577,0.547,0.57,0.55059814453125,29395200
20100323,0.574,0.583,0.565,0.582,0.5621127486228943,27667200
20100324,0.578,0.579,0.57,0.574,0.5541171431541443,44620800
20100325,0.588,0.594,0.57,0.57,0.5506483316421509,46963200
20100326,0.578,0.584,0.564,0.573,0.553513765335083,42144000
20100329,0.582,0.587,0.577,0.581,0.5611068606376648,19027200
20100330,0.586,0.592,0.575,0.587,0.5669901967048645,19948800
20100331,0.581,0.589,0.575,0.579,0.5593468546867371,29779200
20100401,0.586,0.597,0.565,0.578,0.558240532875061,58310400
20100405,0.582,0.598,0.578,0.595,0.5743815898895264,33792000
20100406,0.59,0.605,0.587,0.599,0.5787560939788818,29356800
20100407,0.597,0.604,0.586,0.596,0.5754878520965576,53126400
20100408,0.59,0.602,0.581,0.598,0.577549159526825,34828800
20100409,0.6,0.61,0.596,0.609,0.587957501411438,29049600
20100412,0.611,0.616,0.607,0.611,0.5903207659721375,24403200
20100413,0.609,0.622,0.604,0.621,0.5992211103439331,33619200
20100414,0.63,0.643,0.628,0.643,0.6203399896621704,30547200
20100415,0.642,0.654,0.641,0.651,0.62863689661026,22886400
20100416,0.644,0.651,0.616,0.628,0.6062610149383545,64742400
20100419,0.622,0.633,0.604,0.627,0.6053052544593811,56371200
20100420,0.637,0.641,0.625,0.636,0.6142559051513672,28051200
20100421,0.649,0.653,0.635,0.647,0.6250666975975037,41990400
